Town,Median_household_income,Median_rent,Crime_index,X,Y
Andover,97426,840,8,41.7329821,-72.3746584
Ansonia,43144,1026,378,41.3442494,-73.0698254
Ashford,77250,920,30,41.8971227,-72.1714268
Avon,116565,1404,168,41.7871585,-72.8520463
Barkhamsted,81792,1121,12,41.9357077,-72.9729214
Beacon Falls,87273,1225,53,41.443685,-73.0519252
Berlin,87518,1118,428,41.6054768,-72.7784592
Bethany,97500,1141,30,41.422964,-72.9941871
Bethel,85377,1310,181,41.3697777,-73.3895032
Bethlehem,88616,1016,11,41.6357676,-73.2114114
Bloomfield,73519,1250,620,41.8449305,-72.7409509
Bolton,88625,1018,19,41.7645883,-72.4375755
Bozrah,76307,967,15,41.5450583,-72.175228
Branford,71058,1296,575,41.2795664,-72.7903506
Bridgeport,41204,1142,4731,41.1873858,-73.1957339
Bridgewater,93750,1321,12,41.520294,-73.3610927
Bristol,60208,950,1090,41.6815776,-72.9407487
Brookfield,106920,1521,125,41.4698845,-73.3936666
Brooklyn,59369,956,44,41.7872432,-71.9574015
Burlington,109037,980,24,41.7575167,-72.9575607
Canaan,68021,983,10,41.9629594,-73.3071433
Canterbury,81496,1026,36,41.695706,-72.003414
Canton,89452,1099,68,41.8587259,-72.9108619
Chaplin,78750,988,11,41.7908895,-72.1295395
Cheshire,107716,1186,178,41.5118273,-72.9036174
Chester,74063,1003,6,41.4096829,-72.4847352
Clinton,71028,1201,336,41.2951299,-72.5300394
Colchester,98899,1205,76,41.5573768,-72.3442483
Colebrook,78854,1306,5,42.0053727,-73.0637318
Columbia,93953,1085,34,41.6945271,-72.305414
Connecticut,69899,1123,71883,41.8496485,-73.3300949
Cornwall,80234,986,6,41.7800989,-72.3440207
Coventry,92663,1040,110,41.6165508,-72.6616042
Cromwell,80028,1199,273,41.4018389,-73.4722848
Danbury,65981,1404,1270,41.0521498,-73.4797138
Darien,199444,2790,281,41.3678191,-72.4774422
Deep River,65577,1131,6,41.3261714,-73.0825695
Derby,52136,1131,348,41.4689218,-72.6845254
Durham,117328,1131,37,41.929719,-72.7453784
